threads_num|width|time
2|512|2.439126
4|512|1.841332
4|512|1.804519
4|512|1.786645
4|512|1.897659
4|512|1.385959
4|512|1.759967
4|512|1.820129
4|512|1.787889
4|512|1.801533
4|512|1.804681
8|512|1.2064
8|512|3.172471
8|512|1.094183
8|512|3.410374
8|512|1.265482
8|512|1.254731
8|512|1.704471
8|512|1.509681
8|512|1.162299
8|512|1.267353
16|512|6.438782
16|512|5.664261
16|512|7.250133
16|512|5.444405
16|512|5.334238
16|512|5.325361
16|512|4.837103
16|512|4.782823
16|512|5.564175
16|512|5.35561
32|512|9.547572
32|512|5.189645
32|512|7.978074
32|512|7.283956
32|512|9.576431
32|512|21.067692
32|512|11.115021
32|512|39.43676
32|512|7.547921
32|512|19.833171
64|512|25.903109
64|512|23.063203
64|512|25.095797
64|512|20.021562
64|512|16.848777
64|512|21.954314
64|512|35.984726
64|512|65.164172
64|512|31.998662
64|512|16.183388
128|512|27.138688
128|512|39.25045
128|512|59.157727
128|512|28.57698
128|512|27.33654
128|512|33.82457
128|512|36.725068
128|512|33.264176
128|512|27.989134
128|512|47.554069
1|1024|6.53722
1|1024|6.531721
1|1024|6.547312
1|1024|6.53155
1|1024|6.54249
1|1024|6.53877
1|1024|6.535857
1|1024|6.552976
1|1024|6.538888
1|1024|6.539836
2|1024|9.283207
2|1024|9.584279
2|1024|9.086067
2|1024|8.77195
2|1024|9.079033
2|1024|9.056447
2|1024|9.386558
2|1024|9.333597
2|1024|9.592329
2|1024|9.440948
4|1024|7.318676
4|1024|7.327366
4|1024|5.665266
4|1024|5.645359
4|1024|5.657179
4|1024|5.657648
4|1024|5.671462
4|1024|7.357128
4|1024|5.618535
4|1024|7.307842
8|1024|4.69856
8|1024|4.851598
8|1024|7.998827
8|1024|7.729815
8|1024|11.041491
8|1024|11.186725
8|1024|5.800805
8|1024|4.651166
8|1024|6.612058
8|1024|5.793316
16|1024|11.996068
16|1024|23.529706
16|1024|18.535593
16|1024|13.332966
16|1024|18.032395
16|1024|18.470993
16|1024|18.805964
16|1024|17.177275
16|1024|17.296787
16|1024|14.5304
32|1024|37.310903
32|1024|35.9137
32|1024|92.839324
32|1024|34.205657
32|1024|27.352555
32|1024|32.219449
32|1024|31.829252
32|1024|27.208464
32|1024|31.034614
32|1024|46.956913
64|1024|78.649923
64|1024|74.260397
64|1024|66.011449
64|1024|89.715556
64|1024|60.720646
64|1024|70.348149
64|1024|66.900993
64|1024|69.300646
64|1024|72.215332
64|1024|87.253626
128|1024|99.024102
128|1024|117.729072
128|1024|110.076706
128|1024|111.578855
128|1024|105.498499
128|1024|114.869031
128|1024|104.696989
128|1024|107.400266
128|1024|110.464276
128|1024|115.861228
1|2048|26.139442
1|2048|26.24205
1|2048|26.09273
1|2048|26.250142
1|2048|26.146876
1|2048|26.115246
1|2048|26.178981
1|2048|26.129261
1|2048|26.114482
1|2048|26.127188
2|2048|36.701034
2|2048|37.226547
2|2048|37.502171
2|2048|37.45731
2|2048|37.355061
2|2048|37.463413
2|2048|37.338125
2|2048|36.790035
2|2048|37.389674
2|2048|37.538722
4|2048|21.595382
4|2048|21.563718
4|2048|21.607994
4|2048|18.928136
4|2048|21.705752
4|2048|28.037554
4|2048|21.560687
4|2048|21.531147
4|2048|21.606428
4|2048|28.047208
8|2048|18.235918
8|2048|22.551794
8|2048|19.827256
8|2048|19.1872
8|2048|18.929079
8|2048|18.101469
8|2048|18.750893
8|2048|39.596018
8|2048|19.718055
8|2048|18.169065
16|2048|55.665852
16|2048|81.271076
16|2048|65.126423
16|2048|58.020076
16|2048|84.828396
16|2048|53.083266
16|2048|52.367913
16|2048|54.140861
16|2048|52.676902
16|2048|52.907309
32|2048|94.035402
32|2048|87.252147
32|2048|74.109197
32|2048|91.51685
32|2048|109.309162
32|2048|90.305422
32|2048|112.80829
32|2048|173.756571
32|2048|80.261406
32|2048|107.118726
64|2048|217.681245
64|2048|261.951629
64|2048|232.719922
64|2048|205.591718
64|2048|247.927758
64|2048|215.14653
64|2048|283.643969
64|2048|208.609871
64|2048|269.096368
64|2048|252.849504
128|2048|430.057665
128|2048|450.851187
128|2048|524.806441
128|2048|438.718934
128|2048|410.98211
128|2048|427.003945
128|2048|422.686981
128|2048|436.799077
128|2048|479.164998
128|2048|429.57403
1|4096|121.018281
1|4096|117.840166
1|4096|117.713894
1|4096|109.796869
1|4096|113.186709
1|4096|118.38943
1|4096|118.772407
1|4096|115.019206
1|4096|110.570814
1|4096|123.391937
2|4096|153.78221
2|4096|153.360294
2|4096|150.795021
2|4096|153.437027
2|4096|153.866623
2|4096|154.826277
2|4096|157.070676
2|4096|154.196572
2|4096|156.504381
2|4096|153.755072
4|4096|92.213786
4|4096|91.252091
4|4096|91.12722
4|4096|90.130528
4|4096|123.434468
4|4096|119.408192
4|4096|89.884811
4|4096|115.263492
4|4096|92.015436
4|4096|95.985866
8|4096|90.67866
8|4096|65.389078
8|4096|82.423626
8|4096|66.417825
8|4096|92.431903
8|4096|89.365259
8|4096|72.670531
